category_l1,brand,age_group,age_bucket_primary_filled,desc_age_bucket,desc_age_confidence,weight_age_bucket,weight_age_confidence,kg_lo,kg_hi,kg_mid,age_bucket_enriched,age_source_enriched,age_bucket_final,age_source_final,description_merged
Thời trang,Laluna,Không xác định,,,,,,,,,,missing,,missing,
Vệ sinh,Huggies,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Babycare,ConCung Good,Không xác định,,,,,,,,,,missing,,missing,"﻿Ưu điểm nổi bật của sản phẩm Thiết kế dễ thương, màu sắc tươi sáng Chứa được nhiều đồ, giúp không gian nhà mẹ được gọn gàng, ngăn nắpCó thể gấp gọn khi không sử dụng Hướng dẫn sử dụng Dùng để đựng đồ chơi hoặc quần áo bẩn  Hướng dẫn bảo quản  Vệ sinh, giặt sạch bằng nước sạchBảo quản nơi khô ráo, tránh tiếp xúc với nguồn nhiệt cao Thông tin chi tiết Tên sản phẩm: Giỏ vải đựng đồ Concung GoodThương hiệu: Concung GoodXuất xứ: Việt Nam"
Vệ sinh,Anyguard,Không xác định,,,,,,,,,,missing,,missing,"- Thiết kê 3 lớp kết hợp form 2D ôm khít khuôn mặt, cover full mặt giúp ngăn tối đa vi khuẩn, bụi bẩn gây hại - Quai đeo mềm mịn, đàn hồi tốt - Vải lọc kháng khuẩn 99,99% đã được chứng nhận từ các cơ quan kiểm duyệtSản xuất theo tiêu chuẩn công nghệ Hàn Quốc: ISO 2015:9001, ISO 2016:13485, QCVN 1:2017/BTC Thành phần: Phần thân 3 lớp (1 lớp vải không dệt SB, 1 lớp vải lọc kháng khuẩn Meltblown, 1 lớp vải không dệt MF), quai đeo siêu đàn hồi Hướng dẫn sử dụng: 1. Mở rộng khẩu trang từ vị trí mũi tên, hướng đeo sao cho logo nằm phía dưới 2. Lần lượt đeo hai quai vào vành tai 3. Điều chỉnh cho vừa vặn Lưu ý: Tùy theo môi trường sử dụng, sản phẩm có thể không phát huy hết chức năng đã kiểm chứng. Sản phẩm sử dụng một lần, vui lòng hủy sau khi sử dụng. Không sử dụng và liên hệ với nhà sản xuất nếu phát hiện bất thườngKhông sử dụng sản phẩm với mục đích khác﻿"
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Set kẹp tóc cho bé 5 món CF2103 MN M3835-2 (Hồng, Xanh)         Thương hiệu: CF         Xuất xứ: Trung Quốc         Nhà sản xuất: Mino                      Set kẹp tóc cho bé 5 món CF2103 MN M3835-2 (Hồng, Xanh) là kẹp tóc dành cho nhiều lứa tuổi của thương hiệu CF đến từ Trung Quốc. Kẹp nhỏ gọn và xinh xắn, phù hợp cho nhiều dịp khác nhau.                           Kẹp tóc nhỏ gọn - Hình gắn ngộ nghĩnh, dễ thương                 Kẹp tóc được thiết kế nhỏ gọn với hình gắn ngộ nghĩnh, nhiều kiểu dáng dễ thương, giúp tạo nên phong cách đáng yêu cho bé yêu của bạn.               Kẹp được bọc vải - Không đau tóc, cực êm            Hệ thống bảo vệ tóc với lớp bọc vải giúp kẹp tóc không gây cảm giác đau đớn hay khó chịu, cho bé một trải nghiệm thật dễ chịu khi sử dụng.            Chất liệu an toàn - Giúp bảo vệ sức khỏe bé            Chất liệu được sử dụng là an toàn cho trẻ em, giúp bé không chỉ đẹp mà còn an toàn cho sức khỏe trong quá trình sử dụng.            Màu sắc đa dạng - Tha hồ cho bé thay đổi mỗi ngày            Với màu sắc phong phú, set kẹp tóc cho bé cho phép trẻ nhỏ thỏa mãn sở thích và khám phá phong cách theo cách riêng của mình mỗi ngày.               Lưu ý               Sản phẩm thích hợp cho nhiều lứa tuổi.         Khi sử dụng, hãy đảm bảo không để trẻ em cầm kẹp tóc một mình để tránh nguy cơ chấn thương.                     Thành phần               Acrylic         Polyester         Iron         Vải acrylic         Sợi polyester         Sắt"
Hóa mỹ phẩm cho bé,Nước rửa bình sữa Aga-ae,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Nước rửa bình sữa AGA-AE Hàn Quốc hương cam dạng túi 500ml         Loại sản phẩm: chất lỏng         Đối tượng sử dụng: cho bé và gia đình         Thương hiệu: AGA-AE         Xuất xứ: Hàn Quốc         Ngày sản xuất: 29.04.2016         Hạn sử dụng: xem trên bao bì         Giấy đăng ký số: Siheung-si No.19         Nhà sản xuất: Yang Yang Industrial Co., Ltd.         Nhập khẩu và phân phối bởi: Công ty Cổ Phần Con Cưng, 101-103 Trần Quang Khải, Phường Tân Định, Quận 1, TP. Hồ Chí Minh.                         Nước rửa bình sữa AGA-AE Hàn Quốc hương cam dạng túi 500ml là chất lỏng dành cho bé và gia đình của thương hiệu AGA-AE đến từ Hàn Quốc. Sản phẩm hoàn toàn từ thiên nhiên, đem lại sự an toàn và hiệu quả trong việc làm sạch.                              Nước rửa bình sữa an toàn - 100% chiết xuất từ thiên nhiên                 Sản phẩm nước rửa bình sữa AGA-AE không chứa hóa chất độc hại, an toàn cho sức khỏe của bé. Với 100% thành phần thiên nhiên, sản phẩm giúp đảm bảo sạch sẽ mà không gây hại.               Tinh dầu cam - Loại bỏ vi khuẩn mà không cần đun sôi           Tinh dầu cam trong sản phẩm giúp làm sạch và loại bỏ vi khuẩn trong bình sữa mà không cần phải đun sôi, đảm bảo an toàn cho bé sử dụng ngay sau khi rửa.               Hướng Dẫn Sử Dụng               Cho vừa đủ lượng dung dịch vào bông tẩy rửa cùng một ít nước ấm.         Chùi rửa bình sữa cũng như các dụng cụ cho bé ăn khác.         sau khi làm sạch, rửa lại các dụng cụ bằng nước sạch từ 2 đến 3 lần.                     Lưu ý               Tuyệt đối không được uống sản phẩm hoặc để dung dịch rơi vào mắt. Nếu lỡ xảy ra tình huống trên thì phải đến phòng khám bác sĩ ngay lập tức.         Đọc kỹ hướng dẫn sử dụng trước khi dùng.         Tránh xa tầm tay trẻ em.         Không pha trộn sản phẩm với các chất tẩy rửa khác.                     Thành Phần               Chiết xuất từ các thành phần thiên nhiên.         Dễ phân hủy về mặt sinh học."
Phụ kiện,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Set kẹp tóc cho bé 5 món CF2103 MN M3835-3         Thương hiệu: CF         Xuất xứ: Trung Quốc         Nhà sản xuất: Mino                        Set kẹp tóc cho bé 5 món CF2103 MN M3835-3 là kẹp tóc dành cho nhiều lứa tuổi của thương hiệu CF đến từ Trung Quốc. Sản phẩm với thiết kế nhỏ gọn, xinh xắn, giúp bé yêu tạo điểm nhấn dễ thương cho mái tóc.                              Kẹp tóc nhỏ gọn, xinh xắn            Kẹp tóc có thiết kế hình gắn ngộ nghĩnh với nhiều kiểu dáng dễ thương, tạo nên sự thu hút cho các bé. Từ đó, các bé có thể tự tin hơn khi xuất hiện trong các sự kiện hay khi đi chơi.               Kẹp được bọc vải an toàn            Với thiết kế bọc vải, kẹp tóc đảm bảo không làm đau hay gây khó chịu cho tóc của bé, mang lại sự dễ chịu tối đa khi sử dụng.            Chất liệu an toàn cho sức khỏe            Sản phẩm được làm từ các chất liệu an toàn như acrylic, polyester và sắt, giúp đảm bảo sức khỏe cho bé trong mọi tình huống sử dụng.               Màu sắc đa dạng            Set kẹp tóc có màu sắc phong phú như hồng, vàng, tạo điều kiện cho bé có nhiều lựa chọn, tha hồ thay đổi mỗi ngày.                  Hướng dẫn chọn size      Phù hợp cho mọi lứa tuổi, chính vì vậy mẹ có thể thoải mái lựa chọn cho bé mà không cần lo lắng về kích thước và sự vừa vặn.                  Hướng dẫn sử dụng               Chọn một chiếc kẹp tóc mà bé thích.         Kẹp tóc lên mái tóc bé theo kiểu mong muốn.         Hướng dẫn bé cách giữ kẹp tóc để không bị rơi.                        Hướng dẫn bảo quản               Tránh để kẹp tóc ở nơi ẩm ướt.         Giữ kẹp tóc tránh xa các vật nhọn.         Xếp kẹp tóc cẩn thận sau khi sử dụng.                        Lưu ý               Chỉ sử dụng kẹp tóc đúng cách để tránh gãy, hỏng.         Giám sát bé khi sử dụng sản phẩm để đảm bảo an toàn.         Không để kẹp tóc ở nơi dễ gây vướng víu cho bé.                        Thành phần               Acrylic         Polyester         Sắt"
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Set kẹp tóc cho bé 5 món CF2103 MN M3835-5 (Hồng)         Thương hiệu: CF         Xuất xứ: Trung Quốc         Nhà sản xuất: Mino                        **Set kẹp tóc cho bé 5 món CF2103 MN M3835-5 (Hồng)** là kẹp tóc dành cho trẻ em của thương hiệu CF xuất xứ từ Trung Quốc. Sản phẩm này mang đến nhiều sự lựa chọn xinh xắn và dễ thương cho các bé yêu thích làm đẹp.                        Kẹp tóc nhỏ gọn - Thiết kế ngộ nghĩnh           Kẹp tóc có thiết kế nhỏ gọn và phong phú, hình dáng dễ thương giúp bé tự tin hơn trong mỗi dịp đi chơi, dự sinh nhật hay tham gia các buổi tiệc.               Kẹp tóc bọc vải - Không gây đau khi sử dụng           Kẹp được bọc vải mềm mại giúp bé khi kẹp tóc không bị đau tóc, tránh cảm giác khó chịu và rất êm ái khi sử dụng.            Chất liệu an toàn cho sức khỏe - Đảm bảo tính thẩm mỹ           Sản phẩm được làm từ chất liệu an toàn cho sức khỏe của bé, đảm bảo không gây dị ứng hay tổn thương đến da đầu.            Màu sắc đa dạng - Thỏa sức sáng tạo           Với các màu sắc đa dạng, bé yêu có thể dễ dàng thay đổi phong cách hàng ngày, giúp khai thác sự sáng tạo và cá tính riêng.                  Hướng dẫn chọn size      Chất liệu mềm mại và có độ co giãn tốt, phù hợp cho trẻ từ nhiều độ tuổi khác nhau. Mẹ hãy chọn sản phẩm sao cho phù hợp với độ tuổi và kích thước đầu của bé.               Hướng dẫn sử dụng               Chọn kẹp tóc phù hợp với phong cách và trang phục của bé.         Đặt kẹp tóc vào vị trí mong muốn trên đầu bé.         Giữ kẹp tóc thật chặt để không bị trượt ra ngoài.                     Hướng dẫn bảo quản               Tránh để nơi có nhiệt độ cao hoặc ẩm ướt.         Giặt nhẹ nhàng nếu cần thiết, không sử dụng hóa chất tẩy.         Để nơi thoáng mát sau khi sử dụng để kéo dài tuổi thọ sản phẩm.                     Lưu ý               Sản phẩm chỉ sử dụng cho trẻ em.         Không sử dụng kẹp tóc cho bé khi đi ngủ.                     Thành phần               Acrylic         Polyester         Iron         Vải acrylic         Sợi polyester         Sắt"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Nanny,Không xác định,,,,,,,,,,missing,,missing,"Bộ móc quần áo trẻ em Nanny được làm từ chất liệu nhựa cao cấp, bề mặt trơn láng, không làm xước quần áo. Đặc biệt với thiết kế cổ rãnh chữ V sẽ giúp cố định quần áo một cách dễ dàng. ĐẶC ĐIỂM SẢN PHẨM Chất liệu cao cấp Móc treo quần áo Nanny được làm từ chất liệu nhựa cao cấp không chỉ đảm bảo an toàn khi sử dụng mà còn hạn chế nứt vỡ, dễ dàng vệ sinh và bảo quản. Thiết kế vừa vặn tiện dụng Bộ móc treo quần áo có thiết kế vừa vặn với quần áo của bé. Hơn nữa, cổ rãnh chữ V sẽ giúp Mẹ dễ dàng cố định quần áo hơn. THÔNG TIN SẢN PHẨM Tên sản phẩm: Bộ móc áo trẻ em Nanny S5-N845C Hồng Thương hiệu: Nanny (Thái Lan) Xuất xứ: Thái Lan Chất liệu: Nhựa cao cấp Màu sắc: Hồng"
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,PUKU,Không xác định,,,,,,,,,,missing,,missing,"Bình sữa PUKU nhựa PPSU cổ rộng 140ml (P10817) có chất liệu y khoa cao cấp, an toàn khi vệ sinh với mọi chất tẩy rửa. Núm ty siêu mềm, có hệ thống van thông hơi chống đầy hơi, trào ngược Chất liệu: - Thân bình: 100% nhựa PPSU - Núm ty: 100% Silicone - Nắp bình: nhựa PP,  không BPA Ưu điểm sản phẩm: - Chất liệu y khoa cao cấp an toàn khi vệ sinh mọi loại chất tẩy rứa. - Núm ty silicone siêu mềm, thiết kế đầu ty hình chiếc nhẫn độc đáo, có hệ thống van thông hơi chống đầy hơi, trào ngược. - Khả năng chịu nhiệt cao, có thể tiệt trùng bằng tia UV - Thiết kế thân thiện với môi trường, thiết kế uốn cong dễ dàng cầm nắm. - Kiểu dáng đẹp, bền, khó vỡ - Họa tiết tinh tế, mực in không độc hại - Đạt tiêu chuẩn FDA Hướng dẫn vệ sinh, bảo quản: - Rửa sạch và tiệt trùng bình sữa, núm ty trước khi sử dụng lần đầu và sau mỗi lần sử dụng. Bình sữa chịu được nhiệt độ đến 195oC, núm vú silicone có khả năng co giãn cao cho bé cảm giác mềm mại. - Sử dụng dưới sự giám sát của người lớn. - Kiểm tra từng thành phần trước khi sử dụng và loại bỏ ngay lập tức khi bị mòn hoặc bị hư hỏng. Xuất xứ: Đài Loan"
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,
Babycare,Tottosi,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Xe Gỗ Tập Đi Tottosi Vịt 104002         Loại sản phẩm: Xe tập đi gỗ         Đối tượng sử dụng: bé trong giai đoạn tập đi         Thương hiệu: Tottosi         Sản xuất tại: Việt Nam                        Xe Gỗ Tập Đi Tottosi Vịt 104002 là xe tập đi gỗ dành cho bé trong giai đoạn tập đi của thương hiệu Tottosi, sản xuất tại Việt Nam. Điểm nổi bật chính của sản phẩm là thiết kế an toàn và tính năng hỗ trợ bé tự tin tập đi.                        Xe Tập Đi Gỗ Tottosi + Chất liệu gỗ mịn + An toàn cho bé           Xe tập đi gỗ Tottosi được làm từ chất liệu gỗ mịn, không có góc cạnh, giúp bảo vệ làn da nhạy cảm của bé khỏi những trầy xước khi sử dụng.            Âm thanh lốc cốc + Giúp bé thích thú và tự tin           Âm thanh lốc cốc phát ra từ bánh xe làm tăng sự vui vẻ, khiến bé thêm phấn khởi trong từng bước đi, thúc đẩy khả năng tự tin khi tập đi.            Thiết kế độc đáo + Hỗ trợ bám đứng và đẩy tiến           Xe được thiết kế với thanh ngang để bé có thể dễ dàng vịn và đứng dậy, giúp hỗ trợ bé trong từng bước đi mà không cảm thấy lo lắng.            Hệ thống bánh xe thông minh + Không gây nguy hiểm cho bé           Bánh xe 2 to 2 nhỏ chống lật với đai cao su giúp tăng độ ma sát, đảm bảo rằng xe di chuyển chậm và an toàn cho bé khi tập đi.            Sơn an toàn + Không gây kích ứng da           Xe được sơn bằng loại sơn an toàn, không gây kích ứng với da bé, đảm bảo an toàn tuyệt đối khi trẻ sử dụng.            Kích thước chuẩn + Phù hợp với chiều cao bé           Kích thước xe được thiết kế chuẩn kỹ thuật, phù hợp với chiều cao của các bé trong giai đoạn tập đi, giúp bé không phải với tay khi sử dụng.               Hướng dẫn chọn size      Không áp dụng cho sản phẩm này.               Hướng dẫn sử dụng               Cho bé đứng vững và vịn vào thanh ngang của xe.         Khuyến khích bé đẩy xe về phía trước.         Giám sát bé trong suốt quá trình sử dụng để đảm bảo an toàn.                     Hướng dẫn bảo quản               Đặt xe ở nơi khô ráo, tránh ánh nắng trực tiếp.         Sử dụng vải ẩm để lau sạch sản phẩm khi cần thiết.         Kiểm tra định kỳ để đảm bảo mọi bộ phận hoạt động tốt.                     Thành phần               Gỗ tự nhiên         Sơn an toàn cho trẻ em         Hệ thống bánh xe cao su                     Lưu ý               Không để trẻ chơi một mình mà không có sự giám sát của người lớn.         Tránh để xe va chạm mạnh với các vật thể cứng."
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Con Cưng,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Ami,Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Miếng gặm nướu Ami hình gấu linh động AM33107         Thương hiệu: Ami         Xuất xứ: Thái Lan                     **Miếng gặm nướu Ami hình gấu linh động AM33107** là một sản phẩm đồ chơi dành cho bé trong thời kỳ mọc răng của thương hiệu Ami đến từ Thái Lan. Sản phẩm được làm từ nhựa silicone mềm dẻo với độ an toàn cao, mang lại cảm giác an toàn và thoải mái cho trẻ.                     Thiết kế ergonomic giúp bé dễ dàng cầm nắm           Với thiết kế nhỏ gọn và vừa tay, **Miếng gặm nướu Ami hình gấu linh động AM33107** giúp bé dễ dàng cầm giữ mà không sợ rơi. Sản phẩm thực sự là sự lựa chọn lý tưởng để giúp trẻ thư giãn trong thời gian mọc răng.            Màu sắc và họa tiết ngộ nghĩnh thu hút sự chú ý của bé           Với thiết kế hình dáng gấu dễ thương cùng màu sắc tươi vui, sản phẩm không chỉ giúp giảm đau nhức cho trẻ mà còn kích thích sự phát triển thị giác cho bé.               Hướng dẫn sử dụng               Cho bé cầm chơi để làm quen với sản phẩm.         Có thể để miếng gặm nướu vào tủ lạnh trong thời gian ngắn để tạo cảm giác mát lạnh giúp làm dịu cảm giác ngứa nướu.         Dùng sản phẩm dưới sự giám sát của người lớn để đảm bảo an toàn cho trẻ.                     Hướng dẫn bảo quản               Không để sản phẩm nơi có nguồn nhiệt cao hoặc ánh sáng mặt trời trực tiếp.         Không để vào ngăn đá.         Vệ sinh bằng nước ấm sau mỗi lần sử dụng. Tránh khử trùng bằng nước sôi, lò vi sóng, máy rửa chén hay dung dịch tẩy rửa.                     Lưu ý               Sản phẩm cần được sử dụng dưới sự giám sát của người lớn.         Tránh để trẻ em hoặc người lớn dùng răng cắn sẽ gây tổn hại hoặc làm xuyên thủng sản phẩm.                     Thành phần               Nhựa silicone cao cấp."
Thời trang,Laluna,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho gia đình,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Tã,Bobby,Không xác định,,,,,,,,,,missing,,missing,"- Đệm lưng thấm mồ hôi: sở hữu cải tiến mới - đệm thấm mồ hôi lưng với công nghệ màng thấm green-tissue độc quyền trên thị trường chỉ duy nhất tã quần Bobby siêu thấm khô thoáng sở hữu, giúp thấm khô mồ hôi lưng, cho vùng lưng bé luôn khô thoáng, để mỗi phút giây bé lẫy lật, thật thoải mái, năng động. - Bề mặt 3000 lỗ thấm siêu tốc cùng rãnh thấm kim cương: bề mặt rãnh thấm kim cương giúp dàn đều và giữ lại chất lỏng nay được bổ sung thêm 3000 lỗ thấm siêu tốc giúp tã thấm nhanh, thoáng khí gấp 3 lần, tã nay tăng cường sự thông thoáng, ngừa hăm hiệu quả cho bé. - Hệ thun siêu linh hoạt kết hợp đệm thun xốp êm: Hệ thun co giãn linh hoạt ở các vị trí bụng, hông và đùi cùng lớp phủ bằng chất liệu Cotton-soft siêu mềm mại, ôm vừa vặn vòng hông bé, ngăn tràn hiệu quả và đồng thời không gây hằn đỏ. - Mặt đáy thoát ẩm đa chiều: mặt đáy dạng vải giúp đẩy hơi nóng ẩm ra ngoài, cho tã luôn thoáng khí - Dải băng dính cuốn miếng tã tiện lợi: giúp mẹ cuốn miếng tã lại gọn gàng sau sử dụng, giữ vệ sinh và tiện lợi. - Bổ sung trà xanh Nhật Bản: Cho làn da em bé dịu mát HƯỚNG DẪN SỬ DỤNG - Mở rộng phần eo và chân tã. Mang tã cho bé giống như mặc quần lót. - Kéo tã lên bụng cho đến khi đũng quần vừa chạm mông bé. - Điều chỉnh để vách chống trào luôn nằm trong tã và mép chun chân nằm ngoài cho bé thoải mái HƯỚNG DẪN BẢO QUẢN Bảo quản nơi khô mát, tránh bụi và ánh nắng trực tiếp ﻿"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Babycare,KUKU,Không xác định,,,,,,,,,,missing,,missing,"Bình sữa Kuku KU5927A được làm bằng chất liệu nhựa PP cao cấp, chịu nhiệt rất tốt và an toàn tuyệt đối cho trẻ. Núm ty làm bằng silicone mềm mại, đàn hồi tốt. Bình có họa tiết vui nhộn, màu sắc tươi vui giúp bé thấy thích thú hơn khi uống sữa. Màu sắc: Xanh dương, Hồng HƯỚNG DẪN SỬ DỤNG: Dùng để chứa sữa cho bé bú. HƯỚNG DẪN BẢO QUẢN - Thực hiện đúng hướng dẫn vệ sinh, tiệt khuẩn. Việc sử dụng bình có thể làm cho trẻ bỏ bú mẹ và có nguy cơ tiêu chảy. Sử dụng núm vú giả ảnh hưởng không tốt đến việc nuôi con bằng sữa mẹ. - Thân bình nhựa PP sử dụng ở nhiệt độ từ -20 độ C đến 110 độ C. - Núm vú, ống hút silicone sử dụng ở nhiệt độ -20 độ C đến 120 độ C. THÔNG TIN SẢN PHẨM Tên sản phẩm: Bình sữa Kuku nhựa PP cổ thường 120ml (KU5927A, Hồng) Xuất xứ: TAIWAN Nhà sản xuất:Jini Baby International Co., ltd.ĐC :27 Jia Dong , Chang Hua, Taiwan Chất liệu sản phẩm: - Phần tiếp xúc thực phẩm: thân bình nhựa PP; núm vú, ống hút Silicone. - Phần không tiếp xúc thực phẩm: Nắp nhựa PP"
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Phụ kiện,CF (ConCung Fashion),Không xác định,,,,,,,,,,missing,,missing,"Chi tiết sản phẩm                     Tên sản phẩm: Cặp cột CF A039027 Hồng         Thương hiệu: CF         Nhà sản xuất: Hộ Kinh Doanh Con Gái Yêu         Sản xuất tại: Việt Nam         Chất liệu: Polyester, PU, Vải                     Cặp cột CF A039027 Hồng là cặp cột tóc dành cho các bé gái của thương hiệu CF, sản xuất tại Việt Nam. Điểm nổi bật chính của sản phẩm là chất liệu an toàn, không gây đau đầu cho trẻ khi sử dụng.                     Chất liệu cao cấp an toàn            Sản phẩm được làm từ chất liệu cao cấp không gây đau đầu cũng như ảnh hưởng kích ứng với làn da mỏng manh của bé khi sử dụng. Bên cạnh đó, sản phẩm được thiết kế cẩn thận đến từng chi tiết, tỉ mỉ trong việc chọn những chất liệu an toàn cho sức khỏe của bé, để có thể đem đến sản phẩm vừa có tính thấm mỹ cao vừa đảm bảo an toàn tuyệt đối cho bé yêu.            Thiết kế dễ thương, màu sắc bắt mắt            Thiết kế ấn tượng làm điểm nhấn nổi bật trên sản phẩm, màu sắc cực đẹp, thiết kế tỉ mỉ từng chi tiết, giúp bé xinh nhưng rất thoải mái và an toàn, dễ cài, dễ tháo gỡ. Sản phẩm chắc chắn sẽ tôn lên vẻ đáng yêu xinh xắn của các bé gái.                  Hướng dẫn sử dụng               Tháo cặp cột khỏi đóng gói trước khi sử dụng.         Sử dụng cho tóc khô và sạch để đảm bảo hiệu quả.         Đeo cặp cột tóc nhẹ nhàng, không kéo mạnh để tránh gây đau cho bé.                     Hướng dẫn bảo quản               Không giặt máy.         Không giặt bằng nước nóng quá 30C.         Không sử dụng thuốc tẩy, bàn ủi.                     Lưu ý               Sản phẩm không có các chi tiết nhỏ có thể gây nguy hiểm cho trẻ em.         Nên kiểm tra thường xuyên tình trạng sản phẩm để đảm bảo an toàn cho bé.                     Thành phần               Polyester         PU         Vải"
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thực phẩm cho gia đình,Cây Thị,Không xác định,,,,,,,,,,missing,,missing,"Ưu điểm nổi bật của sản phẩm Sử dụng nguyên liệu gà ác được nuôi tại Trang trại gà ác đạt chuẩn, đảm bảo nguồn cung cấp ổn định về số lượng và chất lượng.Các vị thảo dược sử dụng trong gà ác tiềm ngũ vị 380g có nguồn gốc xuất xứ rõ ràng từ thương hiệu thực phẩm làm sẵn Cây ThịCó thể ăn ngay hoặc dùng kèm với thực phẩm khác Hướng dẫn sử dụng Ăn ngay khi mở gói. Ăn ngon hơn khi dùng nóng. Cho sản phẩm còn nguyên bao bì vào trong nước sôi khoảng 3-5 phút hoặc mở bao, cho sản phẩm vào tô và hâm nóng trong lò viba khoảng 1-2 phút.Lưu ý: Không sử dụng nếu bao bì có dấu hiệu bị rách hoặc bị phồng.Hướng dẫn bảo quản Bảo quản ở nhiệt độ thường, nơi khô ráo thoáng mát. Sau khi mở bao bì, bảo quản ở ngăn mát tủ lạnh và sử dụng trong ngày.Thành phần Nước xương hầm, gà ác non nguyên con (30%), táo đỏ (1,5%), kỷ tử (1%), đương quy (1%), thục địa (0,5%), đảng sâm (0,5%), xuyên khung (0,5%), muối, đường tinh luyện, hạt nêm, chất điều vị (621)Thông tin chi tiết Thương hiệu: Cây thị Xuất xứ: Việt NamTrọng lượng: 380g"
Đồ chơi & Sách,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Babycare,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Animo,Không xác định,,,,,,,,,,missing,,missing,
Thời trang,Không xác định,Không xác định,,,,,,,,,,missing,,missing,
